file,line,reference,status
ui/rite_view.gd,1221,RiteResultDiceCountPromptController.c,FILE_EXISTS_BODY_UNVERIFIED
ui/rite_view.gd,1295,RiteResultPanelController.c,FILE_EXISTS_BODY_UNVERIFIED
ui/rite_view.gd,1368,RiteExtensions.c,FILE_EXISTS_BODY_UNVERIFIED
ui/rite_view.gd,1384,RitePanelController.c,FILE_EXISTS_BODY_UNVERIFIED
ui/rite_view.gd,1429,RitePanelController.c,FILE_EXISTS_BODY_UNVERIFIED
ui/rite_view.gd,1703,RiteExtensions.c,FILE_EXISTS_BODY_UNVERIFIED
ui/rite_view.gd,1885,RitePanelShowController.c,FILE_EXISTS_BODY_UNVERIFIED
ui/story_controller.gd,4,StoryController.c,FILE_EXISTS_BODY_UNVERIFIED
ui/story_item_controller.gd,3,StoryItemController.c,FILE_EXISTS_BODY_UNVERIFIED
ui/story_notify_controller.gd,2,StoryNotifyController.c,FILE_EXISTS_BODY_UNVERIFIED
ui/story_target_item_controller.gd,2,StoryTargetItemController.c,FILE_EXISTS_BODY_UNVERIFIED
ui/user_archive_panel.gd,9,UserArchiveController.c,FILE_EXISTS_BODY_UNVERIFIED
ui/user_archive_panel.gd,11,UserArchiveItemController.c,FILE_EXISTS_BODY_UNVERIFIED
ui/user_archive_panel.gd,12,UserArchiveNameInputController.c,FILE_EXISTS_BODY_UNVERIFIED
ui/user_archive_panel.gd,263,UserArchiveItemController.c,FILE_EXISTS_BODY_UNVERIFIED
sim/card_instance.gd,3,CardExtensions.c,FILE_EXISTS_BODY_UNVERIFIED
sim/card_instance.gd,4,RiteExtensions.c,FILE_EXISTS_BODY_UNVERIFIED
sim/card_instance.gd,15,GameController.c,FILE_EXISTS_BODY_UNVERIFIED
sim/card_instance.gd,23,OperationContext.c,FILE_EXISTS_BODY_UNVERIFIED
sim/card_instance.gd,24,ChangeCardName.__c__DisplayClass7_0.c,MISSING_FILE_NEEDS_REVIEW
sim/card_instance.gd,25,Card.c,FILE_EXISTS_BODY_UNVERIFIED
sim/card_instance.gd,34,CardExtensions.c,FILE_EXISTS_BODY_UNVERIFIED
sim/card_instance.gd,35,GameController.c,FILE_EXISTS_BODY_UNVERIFIED
